Type,Label
Character,Admiral Ackbar
Character,Admiral Piett
Character,Admiral Raddus
Character,Baze Malbus
Character,BB-8
Character,Beru Lars
Character,Bib Fortuna
Character,Biggs Darklighter
Character,Boba Fett
Character,Bodhi Rook
Character,Boss Nass
Character,C-3PO
Character,Captain Needa
Character,Captain Panaka
Character,Captain Phasma
Character,Captain Typho
Character,Cassian Andor
Character,Chancellor Valorum
Character,Chewbacca
Character,Chirrut Õ_mwe
Character,Cliegg Lars
Character,Commander Cody
Character,Count Dooku
Character,Darth Maul
Character,Darth Vader
Character,Dorme
Character,Emperor Palpatine
Character,Finn
Character,Galen Erso
Character,General Dodonna
Character,General Draven
Character,General Grievous
Character,General Hux
Character,General Rieekan
Character,Grand Moff Tarkin
Character,Han Solo
Character,Jabba the Hutt
Character,Jango Fett
Character,Jar Jar Binks
Character,Jyn Erso
Character,K-2SO
Character,Ki-Adi-Mundi
Character,Kylo Ren
Character,Lama Su
Character,Lando Calrissian
Character,Lor San Tekka
Character,Luke Skywalker
Character,Lyra Erso
Character,Mace Windu
Character,Maz Kanata
Character,Moff Jerjerrod
Character,Mon Mothma
Character,Nien Nunb
Character,Obi-Wan Kenobi
Character,Orson Krennic
Character,Owen Lars
Character,Padme Amidala
Character,Poe Dameron
Character,Princess Leia Organa
Character,Qui-Gon Jinn
Character,R2-D2
Character,Rey
Character,Sabe
Character,Saw Gerrera
Character,Sebulba
Character,Senator Bail Organa
Character,Shmi Skywalker
Character,Sio Bibble
Character,Supreme Leader Snoke
Character,Taun We
Character,Viceroy Nute Gunray
Character,Watto
Character,Wedge Antilles
Character,Wicket W. Warrick
Character,Yoda
Character,Zam Wesell
Film,EPISODE I: THE PHANTOM MENACE
Film,EPISODE II: ATTACK OF THE CLONES
Film,EPISODE III: REVENGE OF THE SITH
Film,EPISODE IV: A NEW HOPE
Film,EPISODE V: THE EMPIRE STRIKES BACK
Film,EPISODE VI: RETURN OF THE JEDI
Film,EPISODE VII: THE FORCE AWAKENS
Film,ROGUE ONE
Film,ROGUE ONE
