 - url, - mass, - name,film name, - gender, - edited, - height, - created, - homeworld, - eye_color, - skin_color, - hair_color, - birth_year, - films - , - species - , - starships - , - vehicles - 
http://swapi.co/api/people/1/,77,Luke Skywalker,Revenge of the Sith,male,2014-12-20T21:17:56.891000Z,172,2014-12-09T13:50:51.644000Z,http://swapi.co/api/planets/1/,blue,fair,blond,19BBY,http://swapi.co/api/films/6/,http://swapi.co/api/species/1/,http://swapi.co/api/starships/12/,http://swapi.co/api/vehicles/14/
http://swapi.co/api/people/1/,77,Luke Skywalker,Return of the Jedi,male,,,,,,,,,http://swapi.co/api/films/3/,,http://swapi.co/api/starships/22/,http://swapi.co/api/vehicles/30/
http://swapi.co/api/people/1/,77,Luke Skywalker,The Empire Strikes Back,male,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/1/,77,Luke Skywalker,A New Hope,male,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/1/,77,Luke Skywalker,The Force Awakens,male,,,,,,,,,http://swapi.co/api/films/7/,,,
http://swapi.co/api/people/2/,75,C-3PO,Attack of the Clones,n/a,2014-12-20T21:17:50.309000Z,167,2014-12-10T15:10:51.357000Z,http://swapi.co/api/planets/1/,yellow,gold,n/a,112BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/2/,,
http://swapi.co/api/people/2/,75,C-3PO,The Phantom Menace,n/a,,,,,,,,,http://swapi.co/api/films/4/,,,
http://swapi.co/api/people/2/,75,C-3PO,Revenge of the Sith,n/a,,,,,,,,,http://swapi.co/api/films/6/,,,
http://swapi.co/api/people/2/,75,C-3PO,Return of the Jedi,n/a,,,,,,,,,http://swapi.co/api/films/3/,,,
http://swapi.co/api/people/2/,75,C-3PO,The Empire Strikes Back,n/a,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/2/,75,C-3PO,A New Hope,n/a,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/3/,32,R2-D2,Attack of the Clones,n/a,2014-12-20T21:17:50.311000Z,96,2014-12-10T15:11:50.376000Z,http://swapi.co/api/planets/8/,red,"white, blue",n/a,33BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/2/,,
http://swapi.co/api/people/3/,32,R2-D2,The Phantom Menace,n/a,,,,,,,,,http://swapi.co/api/films/4/,,,
http://swapi.co/api/people/3/,32,R2-D2,Revenge of the Sith,n/a,,,,,,,,,http://swapi.co/api/films/6/,,,
