ethnicity,Article for use in theft,Articles for use in criminal damage,Controlled drugs,Firearms,Fireworks,Offensive weapons,Stolen goods
Asian or Asian British - Any other Asian ethnic background (A9),2,,18,5,,9,3
Asian or Asian British - Bangladeshi (A3),1,,2,,,,
Asian or Asian British - Indian (A1),,,37,1,,8,3
Asian or Asian British - Pakistani (A2),11,2,73,7,,23,13
Black or Black British - African (B2),4,,17,,,19,9
Black or Black British - Any other Black ethnic background (B9),2,3,11,6,,5,1
Black or Black British - Caribbean (B1),1,,25,4,,13,11
Chinese or other ethnic group - Chinese (O1),1,,,,,,
Mixed - Any other Mixed ethnic background (M9),2,,4,,,3,4
Mixed - White and Asian (M3),,,3,,,1,
Mixed - White and Black African (M2),,,1,,,,2
Mixed - White and Black Caribbean (M1),5,,16,2,,2,4
Not Stated (NS),3,,5,,,2,3
White - Any other White ethnic background (W9),12,,14,1,,12,20
White - White British (W1),54,5,134,15,1,35,85
White - White Irish (W2),,,2,,,,
