To,From,time,Strength,Type,Label
ROGUE ONE,C-3PO,0.0005,5,Character,C-3PO
ROGUE ONE,R2-D2,0.0005,5,Character,R2-D2
EPISODE III: REVENGE OF THE SITH,Sio Bibble,0.0005,5,Character,Sio Bibble
EPISODE III: REVENGE OF THE SITH,Boss Nass,0.0005,5,Character,Boss Nass
EPISODE I: THE PHANTOM MENACE,Darth Vader,0.979166667,9791.66667,Character,Darth Vader
EPISODE V: THE EMPIRE STRIKES BACK,Han Solo,0.979166667,9791.66667,Character,Han Solo
EPISODE V: THE EMPIRE STRIKES BACK,Princess Leia Organa,0.947916667,9479.16667,Character,Princess Leia Organa
EPISODE I: THE PHANTOM MENACE,Padme Amidala,0.895833333,8958.33333,Character,Padme Amidala
EPISODE I: THE PHANTOM MENACE,Obi-Wan Kenobi,0.885416667,8854.16667,Character,Obi-Wan Kenobi
EPISODE VI: RETURN OF THE JEDI,Princess Leia Organa,0.885416667,8854.16667,Character,Princess Leia Organa
EPISODE IV: A NEW HOPE,Han Solo,0.8125,8125,Character,Han Solo
EPISODE IV: A NEW HOPE,C-3PO,0.8125,8125,Character,C-3PO
EPISODE VII: THE FORCE AWAKENS,Kylo Ren,0.802083333,8020.83333,Character,Kylo Ren
EPISODE VII: THE FORCE AWAKENS,Rey,0.770833333,7708.33333,Character,Rey
EPISODE III: REVENGE OF THE SITH,Padme Amidala,0.760416667,7604.16667,Character,Padme Amidala
EPISODE VI: RETURN OF THE JEDI,Han Solo,0.739583333,7395.83333,Character,Han Solo
EPISODE I: THE PHANTOM MENACE,Jar Jar Binks,0.739583333,7395.83333,Character,Jar Jar Binks
EPISODE IV: A NEW HOPE,Obi-Wan Kenobi,0.729166667,7291.66667,Character,Obi-Wan Kenobi
EPISODE V: THE EMPIRE STRIKES BACK,Chewbacca,0.6875,6875,Character,Chewbacca
EPISODE VI: RETURN OF THE JEDI,Darth Vader,0.614583333,6145.83333,Character,Darth Vader
EPISODE V: THE EMPIRE STRIKES BACK,C-3PO,0.604166667,6041.66667,Character,C-3PO
EPISODE IV: A NEW HOPE,Luke Skywalker,0.5625,5625,Character,Luke Skywalker
EPISODE IV: A NEW HOPE,Princess Leia Organa,0.5625,5625,Character,Princess Leia Organa
EPISODE VI: RETURN OF THE JEDI,C-3PO,0.5625,5625,Character,C-3PO
EPISODE V: THE EMPIRE STRIKES BACK,Darth Vader,0.552083333,5520.83333,Character,Darth Vader
EPISODE III: REVENGE OF THE SITH,Obi-Wan Kenobi,0.552083333,5520.83333,Character,Obi-Wan Kenobi
EPISODE V: THE EMPIRE STRIKES BACK,Yoda,0.520833333,5208.33333,Character,Yoda
EPISODE III: REVENGE OF THE SITH,Yoda,0.489583333,4895.83333,Character,Yoda
ROGUE ONE,Jyn Erso,0.489583333,4895.83333,Character,Jyn Erso
ROGUE ONE,Bodhi Rook,0.489583333,4895.83333,Character,Bodhi Rook
EPISODE I: THE PHANTOM MENACE,Qui-Gon Jinn,0.479166667,4791.66667,Character,Qui-Gon Jinn
EPISODE V: THE EMPIRE STRIKES BACK,R2-D2,0.46875,4687.5,Character,R2-D2
EPISODE V: THE EMPIRE STRIKES BACK,Luke Skywalker,0.447916667,4479.16667,Character,Luke Skywalker
EPISODE VI: RETURN OF THE JEDI,Chewbacca,0.4375,4375,Character,Chewbacca
EPISODE VI: RETURN OF THE JEDI,Luke Skywalker,0.427083333,4270.83333,Character,Luke Skywalker
